Open,High,Low,Volume,Returns,MA5,MA20,Volatility,Price Up/Down
39.16188522959009,39.530342402477835,39.07505292456947,129915600,0.0027553977964411835,39.6608169555664,40.856886291503905,0.009461574376887983,1
39.23228073447791,39.57257317905928,39.13605905026289,188923200,0.002090188782006397,39.50451736450195,40.8046688079834,0.009490243858529744,1
38.95769431806428,39.145442958690175,37.573054807837266,346375200,-0.04339028108313914,38.98773956298828,40.65763854980469,0.013249562325632347,0
37.338365380007126,38.460158806094434,36.610840828574936,290954000,-0.024984507541351064,38.44936981201172,40.440437698364256,0.013567009964621202,0
36.336258332646736,38.422606653896615,36.141469463609056,272975200,0.04179171698282147,38.26443710327148,40.30760536193848,0.01720717825428239,1
38.27475961658197,38.347511362877434,37.3313288935791,206434400,-0.021406994312751393,37.894100952148435,40.13405590057373,0.01765835930095862,0
37.61764196663826,37.784269825362344,36.383200651568615,217562000,-0.02751658720065764,37.30128555297851,39.90946216583252,0.018369209769485535,0
37.012252020658266,37.20547638919081,35.40281840962682,282690400,0.01223150920584759,37.13924560546875,39.69552021026611,0.018638131011063503,0
37.34921338840289,38.61932214150914,37.11592678638475,243278000,0.04027864459617647,37.46233139038086,39.53456573486328,0.021012864727024846,1
38.1621772820291,38.82197484217078,38.091484044226874,130196800,0.010017776459160466,37.55526885986328,39.403376770019534,0.0212349921796379,1
38.41902485300839,39.47941260422183,38.381324910071264,162579600,0.018437351039799488,37.95481414794922,39.27374095916748,0.021332324132733355,1
40.00960408753559,40.78722244438415,39.82344871996502,204588800,0.0335783007489272,38.82527389526367,39.20844268798828,0.022841854926189977,1
40.61520937144973,41.19488961852027,40.47618161148825,160704400,-0.0032371481465988117,39.58026885986328,39.14593391418457,0.02283464643889079,1
40.54215325337661,41.06291937177927,40.393697838925526,135722000,-0.0033637967443960193,40.01102066040039,39.09372348785401,0.022783226597685363,0
40.72596168162499,41.02993793912658,40.29709199603148,149886400,-0.004538634347721615,40.32819519042969,39.0318546295166,0.022794350883170823,0
40.48325628570477,40.98988464646129,40.4620493896228,123967600,0.008359240180223049,40.56996536254883,39.019924354553225,0.0226183019928535,1
40.92390816081634,41.390477885967094,40.89327357832788,135249600,0.01739137697696158,40.68825988769531,39.079834175109866,0.022531148295507782,1
41.55543680631227,42.27178636413056,41.52244709501029,152648800,0.01977225348215117,40.996482849121094,39.17593421936035,0.0228910304250432,1
42.203436211859255,42.52861936141671,41.98193240547774,155712400,-0.003241145396469136,41.30470352172851,39.306856346130374,0.022281240978135112,0
42.241135089621714,42.56160798521604,41.95601061077826,151128400,-0.0015135869360540788,41.63695755004883,39.44621467590332,0.022205879127948074,0
42.07147097696251,42.36366800327985,40.68590011264929,195208000,-0.017516295792722625,41.75477676391601,39.54341430664063,0.022707083302631097,0
40.71889874727326,41.54364494576013,40.636422689181344,153816000,0.00691454509579037,41.788237762451175,39.650764274597165,0.022726306064977036,1
41.28680004196734,41.88297348928554,41.12420662986085,113605600,0.003461873365734336,41.686911010742186,39.85072708129883,0.01994820331851072,1
41.92302593108013,42.00314326566764,41.50358389046572,95154000,-0.000848520582208856,41.60585098266601,40.09597663879394,0.018715076548970266,0
41.22318167889591,41.43761660383059,41.0653020867071,126814000,-0.009282550641090959,41.460227966308594,40.245162391662596,0.01704967947018554,1
41.35042320290987,41.73687562179282,41.2538127948956,95096400,0.010912350932563708,41.55166015625,40.457804107666014,0.016025825031569168,1
41.934799646427194,42.415507145340605,41.80048214790888,128740800,0.017180494737717433,41.72933120727539,40.757775688171385,0.014188272498178877,1
42.48385406124085,42.97870322731675,42.46500588336334,128828400,0.00966806638222617,41.96025924682617,41.05598049163818,0.014157199055480298,1
43.02582751794374,43.2402623796114,42.2364297899041,126774000,-0.009630277245296304,42.1157829284668,41.25933952331543,0.012385671027947336,0
42.490924073672474,42.53805170675562,41.899460952314094,117473600,-0.008501392446964684,42.27648849487305,41.425467300415036,0.012689248569425753,0
42.062052026621785,42.47206996264461,41.96072780085272,90975200,0.0011767631420112057,42.35707550048828,41.55836944580078,0.012249316373646074,1
42.09739211666312,42.208144013440204,41.85468143111522,157618800,-0.0035265024584117954,42.264704895019534,41.61763343811035,0.010038372343653184,0
41.784003706662105,41.81934853673094,40.92155389689894,133787200,-0.015278907792300234,41.96214141845703,41.65144863128662,0.010677111434539857,0
41.29385757446289,41.661458093646814,41.223164337171966,78597600,-0.00034251743015700775,41.73922348022461,41.69139022827149,0.010635202713688374,0
41.24672702789867,41.25850983357466,40.356001572027665,148219600,-0.022654635311041504,41.401312255859374,41.69374656677246,0.01183797661851733,0
40.059099226315716,40.69061741763878,39.729202200342165,165963200,-0.014129604028544462,40.93945541381836,41.65074195861816,0.012080260451290018,0
39.679715980628345,40.04024758721578,38.86675262451172,164115200,-0.02315666551456519,40.32301788330078,41.52632293701172,0.012232908268103639,0
39.604318235800726,40.789596177728065,39.22022095912076,150164800,0.04747197037969375,40.203783416748045,41.45327377319336,0.015952565885634713,1
40.92626453336599,41.272658253770935,39.33332732068814,163690400,-0.02564108810766652,39.87859954833984,41.33486423492432,0.016832802650890065,0
39.41108613081626,40.06381484211484,38.9256646587026,166674000,-0.011049156857118492,39.652855682373044,41.19772109985352,0.016930348166569024,0
39.54304919083701,40.4714784418901,39.32861429364283,153594000,0.007808872485551399,39.60242919921875,41.112655067443846,0.016752412336263005,0
39.267347455946435,39.80932428812303,38.75600520684153,150347200,-0.006556272987962353,39.68443298339844,41.00037174224853,0.016646772281138294,1
